2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '210.61.216.66', 'port': '60209', 'protocol': 2, 'nick_type': 0, 'speed': 1.62, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '101.200.50.18', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:19 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.245.223.64', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.56, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:19 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '182.32.213.70', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.66, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:19 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.233.124.195', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.62, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:20 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.245.8.37', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.55, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:20 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '47.95.157.182', 'port': '3200', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:20 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '175.10.221.103', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.56, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:20 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '47.94.230.42', 'port': '9999', 'protocol': 0, 'nick_type': -1, 'speed': 0.56, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:21 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '113.116.130.157', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 2.25, 'area': None, 'score': 50, 'disable_domains': []}
